"ID","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","EXPIREDATE","UPDATED_AT","CODE","CONTENTS","OBJECTTYPE"
588,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_addr2_custs",,"view_field"
590,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"usergroup_name",,"view_field"
593,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_prfct_billings",,"view_field"
594,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"cust_expiredate",,"view_field"
595,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"button_proc",,"view_field"
596,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"billing_loca_id_billings",,"view_field"
597,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"billing_updated_at",,"view_field"
598,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"usergroup_person_id_upd",,"view_field"
599,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_remark",,"view_field"
600,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_screen_id",,"view_field"
602,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"button_created_at",,"view_field"
603,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"billing_remark",,"view_field"
604,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"cust_update_ip",,"view_field"
607,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_edoptmaxlength",,"view_field"
608,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobject_fieldlength",,"view_field"
610,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"screen_strgrouporder",,"view_field"
611,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"billing_id",,"view_field"
612,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"button_title",,"view_field"
613,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_remark",,"view_field"
614,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobjgrp_expiredate",,"view_field"
615,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"screen_ymlcode",,"view_field"
617,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_crtfield",,"view_field"
618,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"screen_person_id_upd",,"view_field"
619,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"screen_update_ip",,"view_field"
620,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_expiredate",,"view_field"
622,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_zip_billings",,"view_field"
623,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_update_ip",,"view_field"
624,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"screen_cdrflayout",,"view_field"
625,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_created_at",,"view_field"
626,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_editablehide",,"view_field"
627,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_name_billings",,"view_field"
628,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"button_id",,"view_field"
630,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_tel",,"view_field"
